ROTT,ROTT_min,ROTT_mean,ROTT_dev,ROTT_ROTT_mean,ROTT_ROTT_max,ROTT_ROTT_min,ROTT_min_mean,ROTT_ROTT_mean_dev,ROTT_ROTT_mean_dev2,IAT,IATmin,IATmax,IATmean,IAT与最小值比,IAT与最大值比,IAT与平均值比,IAT最小比平均,临近IAT比值,Numrec,Numloss,丢包类别
0.003864,0.003032,0.003884,-0.00002,0.994929,0.741935,1.274406,0.780700364,0.98991,0.992413,0.0008,0.0008,0.0016,0.0014413,1,0.5,0.5550622,0.5550622,1,26,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,4,1,1
0.004856,0.0038,0.004386,0.00047,1.107133,0.726946,1.277895,0.866372276,1.239974,1.169794,0.0008,0.0008,0.0016,0.001276,1,0.5,0.6269592,0.6269592,1,57,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,4,1,1
0.004824,0.0038,0.003876,0.000948,1.244582,1,1.269474,0.980392157,1.647541,1.417989,0.000832,0.000832,0.0016,0.0014976,1,0.52,0.5555556,0.5555556,1,16,1,-1
0.005624,0.004792,0.005208,0.000416,1.079877,1,1.173623,0.920122888,1.173623,1.1248,0.000832,0.000832,0.000832,0.000832,1,1,1,1,0,2,9,-1
0.005592,0.005592,0.005688,-0.000096,0.983122,0.966805,1,0.983122363,0.966805,0.974895,0.000832,0.000832,0.000832,0.000832,1,1,1,1,0,2,5,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,17,8,-1
0.003832,0.0038,0.004013,-0.000181,0.954817,0.869328,1.008421,0.946843854,0.913541,0.933723,0.001619,0.000992,0.001619,0.0013055,1.6320565,1,1.2401379,0.7598621,1.6320565,3,1,-1
0.0038,0.0038,0.003806,-0.000006,0.998336,0.995025,1,0.998336106,0.996678,0.997506,0.0016,0.001581,0.0016,0.0015905,1.0120177,1,1.005973,0.994027,1.0120177,3,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,45,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,39,1,1
0.004664,0.0038,0.003844,0.00082,1.213446,0.956718,1.227368,0.988656468,1.542736,1.35842,0.0008,0.0008,0.001619,0.001543,1,0.4941322,0.5184851,0.5184851,0.9615385,70,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,26,1,1
0.004664,0.0038,0.004093,0.000571,1.139387,0.969445,1.227368,0.928317163,1.323925,1.224744,0.0008,0.0008,0.0016,0.0012107,1,0.5,0.660793,0.660793,0.9615385,7,5,-1
0.003851,0.0038,0.003802,0.000049,1.012936,1,1.013421,0.999520906,1.02621,1.01953,0.000832,0.000832,0.0016,0.0015716,1,0.52,0.5294118,0.5294118,0.52,28,1,-1
0.003832,0.0038,0.003811,0.000021,1.005598,1,1.008421,0.99720084,1.01126,1.008421,0.000941,0.000941,0.0016,0.0012705,1,0.588125,0.7406533,0.7406533,0.588125,3,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,26,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,39,1,1
0.005003,0.0038,0.003812,0.001191,1.31234,1,1.316579,0.996780602,1.908416,1.555219,0.0008,0.0008,0.0016,0.0015802,1,0.5,0.5062534,0.5062534,0.9615385,183,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,20,1,1
0.00504,0.0038,0.003964,0.001076,1.271492,1,1.326316,0.958664855,1.745338,1.471202,0.0008,0.0008,0.0016,0.0014367,1,0.5,0.5568445,0.5568445,0.9638554,13,2,-1
0.00384,0.0038,0.003801,0.000039,1.010194,1,1.010526,0.999671161,1.020598,1.015369,0.00138,0.00138,0.0016,0.0015929,1,0.8625,0.8663426,0.8663426,0.8625,32,3,-1
0.00383,0.0038,0.003801,0.000029,1.007646,1,1.007895,0.99975335,1.01541,1.011513,0.00144,0.00144,0.0016,0.0015948,1,0.9,0.9029126,0.9029126,0.9,32,2,-1
0.00383,0.0038,0.003801,0.000029,1.007654,1,1.007895,0.999760823,1.015425,1.011525,0.00159,0.00159,0.0016,0.0015997,1,0.99375,0.9939441,0.9939441,0.99375,33,1,-1
